ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,120000,2,3,1,39,2,2,2,2,2,2,90059,86217,93852,70971,86720,83245,22334,22669,21204,14667,18432,13954,0
2,320000,2,1,1,33,1,1,1,1,1,1,111020,120333,135554,133196,109077,138796,32992,37189,43651,46359,37197,52578,0
3,170000,2,2,2,40,1,1,1,0,1,0,71885,64650,81108,77742,66714,84305,37215,36342,44700,61584,39470,49069,0
4,190000,1,2,1,48,3,3,3,3,3,3,88484,88074,92546,100950,96410,84626,6895,6820,6292,4894,4714,4839,0
5,90000,2,3,1,32,1,1,1,0,0,0,2938,2145,2701,2459,2682,2350,2123,931,1705,1398,1538,1446,0
6,40000,1,4,1,32,2,2,2,2,3,2,4368,4628,4022,3880,4263,4499,703,612,839,566,600,864,0
7,130000,2,2,1,49,1,1,1,1,1,2,26017,24941,29309,31106,27797,27486,8195,8228,10295,9521,9133,6513,0
8,220000,2,2,1,41,3,3,3,3,3,3,115602,126670,114658,125553,85279,123999,12030,10042,12784,15370,9846,8481,0
9,60000,1,3,1,30,1,2,2,1,2,2,20547,24134,23768,20112,22557,22239,5495,7896,6865,6608,7580,4994,0
10,100000,1,3,1,39,1,1,0,1,1,1,49387,42453,41468,41129,32978,41830,17599,28009,24336,21454,15606,18936,0
11,90000,1,3,1,30,1,1,1,1,1,1,11369,10953,9860,12907,12887,12008,3040,4024,2144,3208,3794,3354,0
12,250000,2,1,1,30,3,3,3,3,3,3,188992,174477,175253,147592,141408,175732,15369,25379,26862,13465,15933,21020,0
13,170000,1,2,2,37,3,3,3,3,3,3,48801,52116,44082,50383,47783,46020,2766,3635,3724,3628,3684,3416,0
14,160000,2,2,1,21,2,2,2,2,2,2,57529,78504,77677,70873,57313,64560,13408,15174,17786,11145,13319,13510,0
15,180000,1,1,2,21,1,1,1,1,1,1,110129,103827,107143,101917,107191,110422,53588,70752,65334,63085,46983,70049,0
16,50000,1,2,1,29,1,1,1,0,0,0,7994,10420,8748,9872,9153,11075,4538,7782,4560,4558,6351,6249,0
17,170000,2,1,2,25,0,0,0,1,1,1,75544,88450,76483,73201,67899,71020,30785,47915,45215,39881,33540,47531,0
18,140000,2,2,2,37,3,3,3,3,3,3,34102,30615,36582,31441,28807,26909,2822,3046,3600,2895,2207,2665,0
19,90000,2,3,2,26,1,2,2,1,2,2,37287,46464,46216,40337,39561,40179,15018,15218,15122,9572,14630,17267,1
20,110000,1,2,2,22,1,1,0,1,1,1,48514,47649,47701,47759,40056,40615,28898,22634,21998,27068,22721,17773,0
21,90000,1,2,2,48,1,1,1,1,1,1,23250,23277,22763,18609,23677,21181,9776,10215,8219,7134,9600,6904,0
22,170000,2,2,2,32,3,3,3,3,3,3,52869,47534,53626,56167,52406,58318,6558,4580,3759,7086,6050,9163,1
23,130000,2,2,2,35,2,2,2,2,2,2,24382,23844,25954,26703,23418,20415,5994,4289,7841,6109,7320,4406,1
24,140000,2,2,2,22,0,0,0,0,0,0,69158,64208,64104,69898,70673,57373,66051,55948,43258,62237,65306,44107,0
25,70000,1,2,1,30,3,3,3,3,3,3,24731,30534,26206,33171,27861,32968,1258,1721,1207,1236,1174,1174,0
